,USB Connect,,,,,,,,,,,,,,,,,,,,,,,,,USB Disconnect,,,,,,,,,,,,,,,,,,,,,,,,,filecopy,,,,,,,,,,,,,,,,,,,,,,,,,logon,,,,,,,,,,,,,,,,,,,,,,,,,logoff,,,,,,,,,,,,,,,,,,,,,,,
CAM0102,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,CAM0102,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,CAM0102,0,0,0,0,0,0,0,0,8,0,0,1,0,0,10,0,0,1,0,0,0,0,0,0,CAM0102,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,CAM0102,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1
SOG0411,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,1.5,0,0,0.5,0,0,0,0,0,0,SOG0411,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,1.5,0,0,0.5,0,0,0,0,0,0,SOG0411,0,0,0,0,0,0,0,0,3.5,0,0,0.5,0,0,4,0,0,0.5,0,0,0,0,0,0,SOG0411,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOG0411,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
BDI0533,0,0,0,0,0,0,4,4,4,1,1,1,3,3,3,1,1,1,0,0,0,0,0,0,BDI0533,0,0,0,0,0,0,4,4,4,1,1,1,4,4,4,1,1,1,0,0,0,0,0,0,BDI0533,0,0,0,0,0,0,12,12,12,1,1,1,14,14,14,2,2,2,0,0,0,0,0,0,BDI0533,0,0,0,0,0,0,2,1,0,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,BDI0533,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,0,1,1,0,1,1
PMJ0564,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,PMJ0564,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,PMJ0564,0,0,0,0,0,0,0,0,8,0,0,1,0,0,10,0,0,1,0,0,0,0,0,0,PMJ0564,1,1,1,1,1,1,3,1,1,1,0,0,2,2,0,1,1,0,1,1,0,1,1,0,PMJ0564,1,1,1,1,1,1,1,1,0,1,1,0,2,1,1,1,0,0,3,2,2,1,0,0
HGG0240,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,HGG0240,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,HGG0240,0,0,0,0,0,0,0,0,8,0,0,1,0,0,10,0,0,1,0,0,0,0,0,0,HGG0240,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,HGG0240,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
MGS0974,0,0,0,0,0,0,2,2,2,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,MGS0974,0,0,0,0,0,0,2,2,2,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,MGS0974,0,0,0,0,0,0,8,8,8,1,1,1,8,8,8,2,2,2,0,0,0,0,0,0,MGS0974,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,MGS0974,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,1,0,0,1,0,0
DHM0937,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0,0,0,0,DHM0937,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0.25,0,0,0.25,DHM0937,0,0,0,0,0,0,0,0,5.75,0,0,1,0,0,1.25,0,0,0.25,0,0,0,0,0,0,DHM0937,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,DHM0937,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1.25,0,1,1
ENC0234,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,ENC0234,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,ENC0234,0,0,0,0,0,0,0,0,7.75,0,0,1,0,0,8,0,0,1.75,0,0,0,0,0,0,ENC0234,0,0,0.75,0,0,0.75,3,1,0,1,0,0,2,1,0,1,0,0,0,0,0.75,0,0,0.75,ENC0234,0,0,0.75,0,0,0.75,1,1,0,1,1,0,1,0,0,1,0,0,2,1,0.25,1,0,0
BMT0528,0,0,0,0,0,0,3,3,3,1,1,1,5,5,5,1,1,1,0,0,0,0,0,0,BMT0528,0,0,0,0,0,0,3,3,3,1,1,1,5,5,5,1,1,1,0,0,0,0,0,0,BMT0528,0,0,0,0,0,0,13,13,13,1,1,1,14,14,14,3,3,3,0,0,0,0,0,0,BMT0528,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,BMT0528,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,0,1,1,0,1,1
CJC0494,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CJC0494,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CJC0494,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CJC0494,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,CJC0494,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
SOB0360,0,0,1,0,0,0.25,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,SOB0360,0,0,1,0,0,0.25,0,0,0.75,0,0,0.25,0,0,0.75,0,0,0.25,0,0,2.5,0,0,1,SOB0360,0,0,4,0,0,0.25,0,0,3.5,0,0,0.25,0,0,3,0,0,0.25,0,0,6.5,0,0,2.25,SOB0360,4,0,1,1,0,0,4,0,1,1,0,0,2,1,1,1,0,0,4,1,1,1,0,0,SOB0360,4,0,1,1,0,0,3,0,0.25,1,0,0,3,0,1,1,0,0,4,1,1,1,0,0
GCS0571,0,0,0,0,0,0,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,GCS0571,0,0,0,0,0,0,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,GCS0571,0,0,0,0,0,0,10,10,10,7,7,7,12,12,12,5,5,5,5,5,5,4,4,4,GCS0571,0,0,0,0,0,0,2,1,0,1,0,0,2,2,1,1,1,0,1,1,1,1,1,1,GCS0571,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,1,1,1,0,0
BJP0134,0,0,0,0,0,0,10,10,10,3,3,3,10,10,10,5,5,5,0,0,0,0,0,0,BJP0134,0,0,0,0,0,0,10,10,10,3,3,3,10,10,10,5,5,5,1,1,1,1,1,1,BJP0134,0,0,0,0,0,0,27,27,27,6,6,6,27,27,27,15,15,15,6,6,6,2,2,2,BJP0134,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,BJP0134,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,1,0,0,1,0,0
RRP0568,0,0,0,0,0,0,3,3,0,1,1,0,3,3,0,1,1,0,0,0,1,0,0,1,RRP0568,0,0,0,0,0,0,2,2,1,1,1,0,3,3,0,1,1,0,1,1,0,1,1,0,RRP0568,0,0,0,0,0,0,12,12,4,3,3,2,15,15,5,2,2,1,0,0,0,0,0,0,RRP0568,0,0,0,0,0,0,3,1,1,1,0,0,2,2,0,1,1,0,0,0,1,0,0,1,RRP0568,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0
MCF0600,9,9,9,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,8,8,8,1,1,1,MCF0600,9,9,9,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,8,8,8,1,1,1,MCF0600,27,27,27,27,27,27,8,8,8,8,8,8,0,0,0,0,0,0,27,27,27,27,27,27,MCF0600,1,1,1,1,1,1,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,MCF0600,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,2,1,1,1,0,0
SAA0999,0,0,0,0,0,0,9,9,9,3,3,3,9,9,9,5,5,5,7,7,7,1,1,1,SAA0999,0,0,0,0,0,0,9,9,9,3,3,3,9,9,9,5,5,5,7,7,7,1,1,1,SAA0999,0,0,0,0,0,0,27,27,27,6,6,6,27,27,27,16,16,16,19,19,19,2,2,2,SAA0999,0,0,0,0,0,0,2,1,0,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,SAA0999,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0
THR0873,0,0,0,0,0,0,9,9,7,3,3,2,10,10,10,4,4,4,9,9,9,2,2,2,THR0873,0,0,0,0,0,0,9,9,7,3,3,2,10,10,10,5,5,5,9,9,9,2,2,2,THR0873,0,0,0,0,0,0,27,27,23,8,8,7,27,27,27,19,19,19,21,21,21,3,3,3,THR0873,1,1,1,1,1,1,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,THR0873,1,1,1,1,1,1,1,1,0,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1
LOF0311,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LOF0311,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LOF0311,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LOF0311,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,LOF0311,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
FSC0601,0,0,0,0,0,0,5,5,3,1,1,0,8,8,8,1,1,1,0,0,0,0,0,0,FSC0601,0,0,0,0,0,0,4,4,2,1,1,0,8,8,8,1,1,1,0,0,0,0,0,0,FSC0601,0,0,0,0,0,0,6,6,2,1,1,0,8,8,8,2,2,2,0,0,0,0,0,0,FSC0601,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,FSC0601,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
CUD0795,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,CUD0795,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,CUD0795,0,0,0,0,0,0,0,0,7.75,0,0,1,0,0,8,0,0,1.75,0,0,0,0,0,0,CUD0795,0,0,0.75,0,0,0.75,1,1,2,1,0,0,0,1,2,0,1,1,0,0,0.75,0,0,0.75,CUD0795,0,0,0.75,0,0,0.75,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1.75,0,1,1
AKR0057,0,0,0,0,0,0,4,4,4,1,1,1,6,6,6,1,1,1,2,2,2,1,1,1,AKR0057,0,0,0,0,0,0,4,4,4,1,1,1,6,6,6,1,1,1,2,2,2,1,1,1,AKR0057,0,0,0,0,0,0,5,5,5,1,1,1,7,7,7,1,1,1,5,5,5,1,1,1,AKR0057,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,AKR0057,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,2,2,1,1,1,0
GZC0735,0,0,0,0,0,0,3,3,1,1,1,0,3,3,3,1,1,1,0,0,0,0,0,0,GZC0735,0,0,0,0,0,0,3,3,1,1,1,0,3,3,3,1,1,1,0,0,0,0,0,0,GZC0735,0,0,0,0,0,0,6,6,2,1,1,0,7,7,7,1,1,1,0,0,0,0,0,0,GZC0735,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,GZC0735,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
NJB0243,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,NJB0243,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,NJB0243,0,0,0,0,0,0,0,0,6.5,0,0,1,0,0,7.5,0,0,1,0,0,0,0,0,0,NJB0243,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0.5,1,0,0,0,0,1,0,0,1,NJB0243,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,1,0,0,0,1,1,0,1,1
NMC0486,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NMC0486,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NMC0486,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NMC0486,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NMC0486,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
KMB0922,0,0,0,0,0,0,4,4,4,1,1,1,3,3,3,1,1,1,2,2,2,1,1,1,KMB0922,0,0,0,0,0,0,4,4,4,1,1,1,3,3,3,1,1,1,2,2,2,1,1,1,KMB0922,0,0,0,0,0,0,9,9,9,1,1,1,14,14,14,1,1,1,11,11,11,1,1,1,KMB0922,1,1,1,1,1,1,2,0,0,1,0,0,2,1,1,1,0,0,2,2,2,1,1,1,KMB0922,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,3,3,2,1,1,0
CFM0767,0,0,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,0,0,0,0,0,0,CFM0767,0,0,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,0,0,0,0,0,0,CFM0767,0,0,0,0,0,0,9,9,9,2,2,2,10,10,10,1,1,1,0,0,0,0,0,0,CFM0767,1,1,1,1,1,1,3,2,1,1,0,0,2,2,1,1,1,0,1,1,1,1,1,1,CFM0767,1,1,1,1,1,1,1,1,0,1,1,0,2,1,1,1,0,0,1,0,0,1,0,0
HAD0246,0,0,0,0,0,0,2,2,0,1,1,0,3,3,1,1,1,0,1,1,1,1,1,1,HAD0246,0,0,0,0,0,0,2,2,0.5,1,1,0,3,3,1,1,1,0,1,1,1,1,1,1,HAD0246,0,0,0,0,0,0,8,8,1.5,2,2,1,7,7,0.5,1,1,0,0,0,0,0,0,0,HAD0246,1,1,1,1,1,1,3,1,1,1,0,0,2,1,0.5,1,0,0,1,1,0,1,1,0,HAD0246,1,1,1,1,1,1,1,1,0,1,1,0,2,1,1,1,0,0,1,0,0,1,0,0
LBF0214,0,0,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,2,2,2,1,1,1,LBF0214,0,0,0,0,0,0,3,3,3,1,1,1,3,3,3,1,1,1,2,2,2,1,1,1,LBF0214,0,0,0,0,0,0,10,10,10,1,1,1,12,12,12,2,2,2,9,9,9,1,1,1,LBF0214,1,1,1,1,1,1,3,2,0.5,1,0,0,2,2,0.5,1,1,0,1,1,1,1,1,1,LBF0214,1,1,1,1,1,1,2,2,1,1,1,0,2,1,0.5,1,0,0,1,1,1,1,1,1
BWP0202,0,0,0,0,0,0,2,2,1,1,1,0.5,2,2,1,1,1,0.5,1,1,0.5,1,1,0.5,BWP0202,0,0,0,0,0,0,2,2,1,1,1,0.5,2,2,1,1,1,0.5,1,1,0.5,1,1,0.5,BWP0202,0,0,0,0,0,0,12,12,6,2,2,1,12,12,6,3,3,1.5,9,9,4.5,9,9,4.5,BWP0202,1,1,0.5,1,1,0.5,3,2,1,2,1,0.5,2,2,1,1,1,0.5,1,1,0.5,1,1,0.5,BWP0202,1,1,0.5,1,1,0.5,2,2,1,1,1,0.5,2,1,0.5,1,0,0,1,1,0.5,1,1,0.5
FFC0891,0,0,0,0,0,0,3,3,3,1,1,1,4,4,4,1,1,1,2,2,2,1,1,1,FFC0891,0,0,0,0,0,0,3,3,3,1,1,1,4,4,4,1,1,1,2,2,2,1,1,1,FFC0891,0,0,0,0,0,0,13,13,13,1,1,1,15,15,15,4,4,4,8,8,8,1,1,1,FFC0891,1,1,1,1,1,1,3,2,1,1,0,0,2,2,1,1,1,0,2,2,2,1,1,1,FFC0891,1,1,1,1,1,1,2,2,1,1,1,0,1,0,0,1,0,0,2,1,1,1,0,0
AJR0932,9,9,9,9,9,9,1,1,0.25,1,1,0,0,0,0.5,0,0,0.25,1,1,1,1,1,1,AJR0932,9,9,9,9,9,9,1,1,0.25,1,1,0,0,0,0.5,0,0,0.25,1,1,0.75,1,1,0.75,AJR0932,16,16,16,16,16,16,8,8,2.25,8,8,7,0,0,1.25,0,0,0.25,0,0,0,0,0,0,AJR0932,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,AJR0932,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0.25,1,0,0
BDV0168,4,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,8,8,8,1,1,1,BDV0168,4,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,8,8,8,1,1,1,BDV0168,11,11,11,11,11,11,4,4,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,BDV0168,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,BDV0168,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1
CQH0730,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CQH0730,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CQH0730,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CQH0730,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,CQH0730,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
LCD0622,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LCD0622,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LCD0622,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LCD0622,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,LCD0622,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
CMB0912,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,CMB0912,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,CMB0912,0,0,0,0,0,0,0,0,6.75,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,CMB0912,0,0,0,0,0,0,4,3,1.75,1,0,0,2,1.5,0.75,1,0.5,0,0,0,0,0,0,0,CMB0912,0,0,0,0,0,0,2,2,1,1,1,0,3,2,1.75,1,0,0,0,0,1,0,0,1
ZKS0899,0,0,0,0,0,0,10,10,10,3,3,3,9,9,9,6,6,6,3,3,3,1,1,1,ZKS0899,0,0,0,0,0,0,10,10,10,3,3,3,9,9,9,6,6,6,4,4,4,1,1,1,ZKS0899,0,0,0,0,0,0,27,27,27,5,5,5,27,27,27,19,19,19,12,12,12,1,1,1,ZKS0899,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,ZKS0899,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0
JCV0245,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,JCV0245,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,JCV0245,0,0,0,0,0,0,0,0,6.5,0,0,1,0,0,7.5,0,0,1,0,0,0,0,0,0,JCV0245,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1.5,0,1,1,0,0,1,0,0,1,JCV0245,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1
AMH0794,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,AMH0794,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,AMH0794,0,0,0,0,0,0,0,0,7.75,0,0,1,0,0,8,0,0,1.75,0,0,0,0,0,0,AMH0794,0,0,0.75,0,0,0.75,1,1,2,1,0,0,0,1,2,0,1,1,0,0,0.75,0,0,0.75,AMH0794,0,0,0.75,0,0,0.75,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1.75,0,1,1
AJF0370,4,4,3,1,1,0.75,10,10,9,4,4,3.75,10,10,9.25,4,4,3.75,4,4,1.5,1,1,0,AJF0370,4,4,3,1,1,0.75,10,10,9.25,4,4,3.75,10,10,9.25,5,5,4.75,4,4,1.5,1,1,0,AJF0370,23,23,19,9,9,8.75,29,29,25.5,8,8,7.75,35,35,32,11,11,10.75,22,22,15.5,8,8,5.75,AJF0370,4,0,1,1,0,0,4,0,1,1,0,0,4,1,1,1,0,0,4,1,1,1,0,0,AJF0370,4,0,1,1,0,0,3,0,0.25,1,0,0,4,1,0,1,0,0,4,1,1,1,0,0
OCS0865,0,0,0,0,0,0,3,3,1,1,1,0,4,4,4,1,1,1,0,0,0,0,0,0,OCS0865,0,0,0,0,0,0,3,3,1,1,1,0,4,4,4,1,1,1,0,0,0,0,0,0,OCS0865,0,0,0,0,0,0,10,10,6,1,1,0,11,11,11,2,2,2,0,0,0,0,0,0,OCS0865,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,1,1,0,0,0,0,0,0,0,OCS0865,0,0,0,0,0,0,1,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
UJC0737,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,UJC0737,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,UJC0737,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,UJC0737,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,UJC0737,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
MBW0809,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,MBW0809,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,MBW0809,0,0,0,0,0,0,0,0,8,0,0,1,0,0,10,0,0,1,0,0,0,0,0,0,MBW0809,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,MBW0809,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0
MCF0327,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MCF0327,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MCF0327,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MCF0327,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,MCF0327,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
SGS0268,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,1.5,0,0,0.5,0,0,0,0,0,0,SGS0268,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,1.5,0,0,0.5,0,0,0,0,0,0,SGS0268,0,0,0,0,0,0,0,0,3.5,0,0,0.5,0,0,4,0,0,0.5,0,0,0,0,0,0,SGS0268,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SGS0268,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1
MMB0488,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MMB0488,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MMB0488,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MMB0488,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,MMB0488,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
AAM0658,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,AAM0658,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,AAM0658,11,11,11,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AAM0658,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,AAM0658,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0
CRK0916,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,CRK0916,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,CRK0916,0,0,0,0,0,0,0,0,7.75,0,0,1,0,0,8,0,0,1.75,0,0,0,0,0,0,CRK0916,1,1,0.25,1,1,0.25,2,0,1,1,0,0,1,0,1,1,0,0,1,1,0.25,1,1,0.25,CRK0916,1,1,0.25,1,1,0.25,1,1,0,1,1,0,0,1,1,0,1,1,2,1,0.25,1,0,0
BBH0810,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0,0,0,0,BBH0810,0,0,0,0,0,0,0,0,1.25,0,0,1,0,0,0.5,0,0,0.25,0,0,0.25,0,0,0.25,BBH0810,0,0,0,0,0,0,0,0,5.75,0,0,1,0,0,1.25,0,0,0.25,0,0,0,0,0,0,BBH0810,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,BBH0810,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0.25,1,0,0
HCS0003,0,0,0,0,0,0,4,4,4,1,1,1,5,5,5,2,2,2,0,0,0,0,0,0,HCS0003,0,0,0,0,0,0,4,4,4,1,1,1,5,5,5,2,2,2,0,0,0,0,0,0,HCS0003,0,0,0,0,0,0,14,14,14,2,2,2,15,15,15,6,6,6,0,0,0,0,0,0,HCS0003,0,0,0,0,0,0,1,1,1.75,1,0,0,0,1,1.75,0,1,1,0,0,0,0,0,0,HCS0003,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
KJS0618,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KJS0618,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KJS0618,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KJS0618,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,KJS0618,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
